pdf_name,page,code,keyword,context,validated,relevant,confirmed_code,notes
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",10,Code 2.2: Inklusion & Partizipation,Teilhabe,"Ausbildung auf ihre anspruchsvolle Tätigkeit vorbereitet werden 
müssen.  Die Forderung nach Bildungsgerechtigkeit, die in der österreichischen Bundesverfassung12 in Bezug auf 
Chancengleichheit und Teilhabegerechtigkeit als Ziele genannt werden, bildet die Basis.  
Ein weiterer Anspruch an akademisch ausgebildeten Elementar pädagoginnen und -pädagogen wird auch durch 
das im bundesländerübergreifenden B",True,ja,Code 2.2: Inklusion & Partizipation,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",10,Code 2.4: Abbau von Benachteiligung & Diskriminierung,Gleichheit,"ne bestmögliche Ausbildung auf ihre anspruchsvolle Tätigkeit vorbereitet werden 
müssen.  Die Forderung nach Bildungsgerechtigkeit, die in der österreichischen Bundesverfassung12 in Bezug auf 
Chancengleichheit und Teilhabegerechtigkeit als Ziele genannt werden, bildet die Basis.  
Ein weiterer Anspruch an akademisch ausgebildeten Elementar pädagoginnen und -pädagogen wird auch durch 
das im bundesländerübe",True,ja,Code 2.4: Abbau von Benachteiligung & Diskriminierung,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",10,Code 2.4: Abbau von Benachteiligung & Diskriminierung,Bildungsgerechtigkeit,"erdies gesteigerte Anforderungen an die Elementarpädagoginnen 
und -pädagogen, die durch eine bestmögliche Ausbildung auf ihre anspruchsvolle Tätigkeit vorbereitet werden 
müssen.  Die Forderung nach Bildungsgerechtigkeit, die in der österreichischen Bundesverfassung12 in Bezug auf 
Chancengleichheit und Teilhabegerechtigkeit als Ziele genannt werden, bildet die Basis.  
Ein weiterer Anspruch an akademisch ausgebildet",True,ja,Code 2.4: Abbau von Benachteiligung & Diskriminierung,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",10,Code 2.5: Bildungspartnerschaft & Sozialraumorientierung,Transition,"dungskonzept deutlich. Dieses biete t 
den inhaltlichen Referenzrahmen des Curriculums, wobei den zentralen Elemente n „Pädagogische Orientierung “, 
„Bildung und Kompetenzen “, „Bildungsbereiche “, „Transitionen “ und „Pädagogische Qualität “ Rechnung getragen  
wird. 13 
 
Die an der Entwicklung des Curriculums beteiligten Pädagogischen Hochschulen folgen dem Anspruch den 
Erfordernissen des Arbeitsmarkte",True,nein,Code 2.5: Bildungspartnerschaft & Sozialraumorientierung,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",11,Code 2.1: Diversität & Heterogenität,sozial,"berösterreich, die Private Pädagogische Hochschule der Diözese Linz und die 
Pädagogische Hochschule Salzburg Stefan Zweig  verstehen  sich als lernende Organisation en. 
Lernende Organisationen sind soziale Systeme, die bestimmte Logiken ausprägen. Sie definieren ihre Grenzen, 
ihre Unterschiedlichkeiten und ihre Aufgaben, ihre Ziele und ihre Strat egien. Insbesondere Organisationen wie die 
Pädagogisc",True,nein,Code 2.1: Diversität & Heterogenität,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",11,Code 2.1: Diversität & Heterogenität,sozial,"kritische und diskursive Auseinandersetzung mit den Lehrinhalten und Lehrmeinungen  gefördert.  
 
Das Lehrkonzept ist reflexiv und professionsorientiert  
Neben fachwissenschaftlichem Wissen  sowie sozial en und personalen Kompetenzen als Elemente  einer 
Dimension des Handelns, wird besonders pädagogisches Fachw issens (PCK - nach Shulman, 1986; 1987) als 
unabdingbare Variable hochschulischer Bildun",True,nein,Code 2.1: Diversität & Heterogenität,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",11,Code 2.7: Professionelle Haltung & Ethik,Reflexion,"n und Inhalte sowie das Einholen von Rückmeldungen in offenen 
Diskussionen eine formative Evaluation dar .  
 
Das Lehr - und Lernkonzept ist studierendenzentriert . 
Neben der Vermittlung konkreter Reflexions - und Handlungskompetenzen für die elementarpädagogische  Praxis 
zielt das Lehrkonzept des Bachelor -Studiums auch darauf ab, Studierenden ihre Verantwortung f ür den eigenen 
Bildungsprozess sowie",True,ja,Code 2.7: Professionelle Haltung & Ethik,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",11,Code 2.7: Professionelle Haltung & Ethik,Reflexivität,"nerseits durch das Trainieren v on Handlungsroutinen an realen und fiktiven Situationen , als auch durch die 
Kontextualisierung und Unterstützung förderlicher intrapersonaler Dispositionen (wie z.B. Reflexivität, forschende",True,ja,Code 2.7: Professionelle Haltung & Ethik,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",11,Code 2.7: Professionelle Haltung & Ethik,reflexiv,"entwickeln. Die Studierenden sind s o weit als möglich an der Auswahl der Themen, Methoden und der 
Evaluation direkt beteiligt. Im Sinne der akademischen Freiheit in der Lehre und Forschung wird die reflexive, 
kritische und diskursive Auseinandersetzung mit den Lehrinhalten und Lehrmeinungen  gefördert.  
 
Das Lehrkonzept ist reflexiv und professionsorientiert  
Neben fachwissenschaftlichem Wissen  sow",True,ja,Code 2.7: Professionelle Haltung & Ethik,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",11,Code 2.7: Professionelle Haltung & Ethik,reflexiv,"Sinne der akademischen Freiheit in der Lehre und Forschung wird die reflexive, 
kritische und diskursive Auseinandersetzung mit den Lehrinhalten und Lehrmeinungen  gefördert.  
 
Das Lehrkonzept ist reflexiv und professionsorientiert  
Neben fachwissenschaftlichem Wissen  sowie sozial en und personalen Kompetenzen als Elemente  einer 
Dimension des Handelns, wird besonders pädagogisches Fachw issens (PCK",False,,,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",11,Code 2.7: Professionelle Haltung & Ethik,reflexiv,"nerseits durch das Trainieren v on Handlungsroutinen an realen und fiktiven Situationen , als auch durch die 
Kontextualisierung und Unterstützung förderlicher intrapersonaler Dispositionen (wie z.B. Reflexivität, forschende",False,,,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",12,Code 2.1: Diversität & Heterogenität,Geschlecht,"ikation im späteren Bil dungs alltag wesentlich.  
Neben der Genauigkeit und Differenziertheit des sprachlichen Ausdrucks wird hoher Wert auf (berufs)ethische 
Fragen des Sprachgebrauchs gelegt. Eine geschlechtergerechte mündliche und schriftliche Sprache ist relevant 
für Leistungsbe urteilungen. Es werden geschlechterstereotype Darstellungsformen und Ideen (z.B. in Sprache, 
Bildern, Redewendungen) sowie",True,ja,Code 2.1: Diversität & Heterogenität,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",12,Code 2.1: Diversität & Heterogenität,Geschlecht,"en Ausdrucks wird hoher Wert auf (berufs)ethische 
Fragen des Sprachgebrauchs gelegt. Eine geschlechtergerechte mündliche und schriftliche Sprache ist relevant 
für Leistungsbe urteilungen. Es werden geschlechterstereotype Darstellungsformen und Ideen (z.B. in Sprache, 
Bildern, Redewendungen) sowie stereotype Darstellungsweisen, Beispiele und Personalisierungen vermieden. In 
den Lehrveranstaltungen wird a",False,,,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",12,Code 2.1: Diversität & Heterogenität,Gender,"rte 
ist ein integrierender Bestandteil einer professionellen Ausbildung, die  durch ein wertebasiertes, kritisch -
reflektierend es Praxishandeln aufgebaut wird.  
 
Das Lehrkonzept ist sprach - und gendersensibel  
Im Sinne der herausragenden Bedeutung der sprachlichen Bil dung für zukünftige Pädagog/innen  enthält das 
Lehrkonzept Initiativen zur Förderung der Ausdruc ks- und Kommunikations kompetenz",False,,,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",12,Code 2.3: Individuelle Förderung & Differenzierung,differenziert,"aftlicher Textkompetenz ist auch die Entwicklung eines persönlichen und situationsangemessenen 
Sprachstils für die  Kommunikation im späteren Bil dungs alltag wesentlich.  
Neben der Genauigkeit und Differenziertheit des sprachlichen Ausdrucks wird hoher Wert auf (berufs)ethische 
Fragen des Sprachgebrauchs gelegt. Eine geschlechtergerechte mündliche und schriftliche Sprache ist relevant 
für Leistungsbe urte",True,ja,Code 2.6: Sprachliche Bildung & Mehrsprachigkeit,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",12,Code 2.3: Individuelle Förderung & Differenzierung,Lernprozessbegleitung,"lgt kompetenzorientiert.  
Sie folgt operationalisierbar en Kriterien und ist daten - und dokumentengestützt. Durch gängige schriftliche und 
mündliche Methoden der Ergebniskontrolle und individuelle Lernprozessbegleitung der Studierenden wird 
Faktenwissen, Konzeptwissen, Prozesswissen und metakognitives Wissen zu  den unterschiedlichen 
Qualifikationsbereichen beurteilt. Die Kompetenz der Studierenden, die Inhalte e",True,nein,Code 2.3: Individuelle Förderung & Differenzierung,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",12,Code 2.4: Abbau von Benachteiligung & Diskriminierung,Diskriminierung,"type Darstellungsformen und Ideen (z.B. in Sprache, 
Bildern, Redewendungen) sowie stereotype Darstellungsweisen, Beispiele und Personalisierungen vermieden. In 
den Lehrveranstaltungen wird auf eine diskriminierungsf reie und gleichberechtigte Umgangs - und Arbeitsweise 
geachtet. Die Wertschätzung gegenüber den Studierenden zeigt sich auch im sprachlichen Umgang mit ihnen.  
 
Die Beurteilung der Studienergebn",True,nein,Code 2.4: Abbau von Benachteiligung & Diskriminierung,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",12,Code 2.4: Abbau von Benachteiligung & Diskriminierung,Stereotype,"wird hoher Wert auf (berufs)ethische 
Fragen des Sprachgebrauchs gelegt. Eine geschlechtergerechte mündliche und schriftliche Sprache ist relevant 
für Leistungsbe urteilungen. Es werden geschlechterstereotype Darstellungsformen und Ideen (z.B. in Sprache, 
Bildern, Redewendungen) sowie stereotype Darstellungsweisen, Beispiele und Personalisierungen vermieden. In 
den Lehrveranstaltungen wird auf eine disk",True,ja,Code 2.4: Abbau von Benachteiligung & Diskriminierung,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",12,Code 2.4: Abbau von Benachteiligung & Diskriminierung,Stereotype,"ergerechte mündliche und schriftliche Sprache ist relevant 
für Leistungsbe urteilungen. Es werden geschlechterstereotype Darstellungsformen und Ideen (z.B. in Sprache, 
Bildern, Redewendungen) sowie stereotype Darstellungsweisen, Beispiele und Personalisierungen vermieden. In 
den Lehrveranstaltungen wird auf eine diskriminierungsf reie und gleichberechtigte Umgangs - und Arbeitsweise 
geachtet. Die Wertsc",True,nein,Code 2.4: Abbau von Benachteiligung & Diskriminierung,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",12,Code 2.6: Sprachliche Bildung & Mehrsprachigkeit,sprachlich,"en Ausbildung, die  durch ein wertebasiertes, kritisch -
reflektierend es Praxishandeln aufgebaut wird.  
 
Das Lehrkonzept ist sprach - und gendersensibel  
Im Sinne der herausragenden Bedeutung der sprachlichen Bil dung für zukünftige Pädagog/innen  enthält das 
Lehrkonzept Initiativen zur Förderung der Ausdruc ks- und Kommunikations kompetenz.  
Zusätzlich zur geforderten Präzision der zu verwendenden Fa",True,ja,Code 2.6: Sprachliche Bildung & Mehrsprachigkeit,
